Date,California,Mexico,Chile,Dominican Republic,New Zealand,Peru,Total Volume in Pounds
1/4/15,164520,29719045,718677,740000,270000,0,31612242
1/11/15,928302,50455653,811149,870000,0,0,53065104
1/18/15,2169628,50940292,1025090,1090000,0,0,55225010
1/25/15,4229894,38183291,481359,2260000,0,0,45154544
2/1/15,3232783,29998307,853528,1350000,0,0,35434618
2/8/15,2263549,24143302,714441,1810000,0,0,28931292
2/15/15,3234872,32153978,496789,1770000,0,0,37655639
2/22/15,3381938,37739189,533213,1330000,0,0,42984340
3/1/15,4753809,39494118,494838,1430000,0,0,46172765
3/8/15,5751861,35083527,352862,1140000,0,0,42328250
3/15/15,8946741,32480272,220941,1830000,0,0,43477954
3/22/15,10213402,27119388,220898,1280000,0,0,38833688
3/29/15,11400096,36539143,224949,430000,0,0,48594188
4/5/15,11172187,20240912,183176,40000,0,0,31636275
4/12/15,11922665,32673922,183176,0,0,0,44779763
4/19/15,12861987,34122110,94815,0,0,0,47078912
4/26/15,12586190,33029389,94815,0,0,0,45710394
5/3/15,12660117,27057120,94815,0,0,0,39812052
5/10/15,10762392,33366562,94815,0,0,94618,44318387
5/17/15,9954767,36426707,0,0,0,1182720,47564194
5/24/15,12394413,28347808,0,0,0,3122381,43864602
5/31/15,9313378,27695765,0,0,0,4683572,41692715
6/7/15,10457049,24789007,0,0,0,5440512,40686568
6/14/15,8317935,28114043,0,0,0,8279040,44711018
6/21/15,8931594,27009274,0,40000,0,9934848,45915716
6/28/15,9369909,25941498,0,0,0,9650995,44962402
7/5/15,7412234,20230340,0,40000,0,9650996,37333570
7/12/15,8537692,31263056,0,80000,0,8941364,48822112
7/19/15,8576108,34059457,0,80000,0,7995187,50710752
7/26/15,7255327,27909164,0,40000,0,8988672,44193163
8/2/15,7684598,27779236,0,40000,0,8137114,43640948
8/9/15,6451491,27017346,0,40000,0,6954394,40463231
8/16/15,5672659,32592652,0,30000,0,5440512,43735823
8/23/15,3797588,32686646,94815,0,0,3406233,39985282
8/30/15,2210080,33152309,0,0,0,1797734,37160123
9/6/15,1511472,36700758,94813,0,0,1371956,39678999
9/13/15,1119131,41455101,221205,0,0,236544,43031981
9/20/15,543476,35166952,229576,0,0,567706,36507710
9/27/15,287410,44108685,581811,0,0,283853,45261759
10/4/15,104076,45360745,726951,0,0,47309,46239081
10/11/15,0,44342583,860845,0,0,0,45203428
10/18/15,0,40286700,866405,0,0,0,41153105
10/25/15,0,35352102,945882,80000,0,0,36377984
11/1/15,0,27934357,770551,120000,0,0,28824908
11/8/15,0,36315472,682925,80000,0,0,37078397
11/15/15,0,52623793,636905,40000,0,0,53300698
11/22/15,0,37647331,872309,90000,0,0,38609640
11/29/15,0,38426840,835952,80000,0,0,39342792
12/6/15,0,38799405,863332,170000,0,0,39832737
12/13/15,0,38028476,1402393,0,0,0,39430869
12/20/15,16150,39071757,1209371,40000,0,0,40337278
12/27/15,22024,31609949,885813,60000,0,0,32577786
Total,262577494,1772784834,20676200,18520000,270000,106208260,2181036788